key,instantion-moment,title,author,message,email,link
note-01,2020/03/15 00:00,Problema,manvazmar3 - Vazquez; Manuel,He tenido un problema con eclipse,manvazmar3@acme.com,https://ev.us.es/
note-02,2020/03/10 00:00,Comentario,angmunpri - Munoz; Angel,He implementado las entidades,angmunpri@acme.com,https://ev.us.es/
note-03,2020/03/05 00:00,Elogio,adrromflo - Romero; Adrian,¡Excelente trabajo; realmente impresionante!,manvazmar3@acme.com,https://ev.us.es/
note-04,2020/02/15 00:00,Desacuerdo,manvazmar3 - Vazquez; Manuel,No estoy de acuerdo con esa afirmación.,manvazmar3@acme.com,https://ev.us.es/
note-05,2020/02/08 00:00,Interés,manvazmar3 - Vazquez; Manuel,Muy interesante; gracias por compartir.,manvazmar3@acme.com,https://ev.us.es/
note-06,2020/01/15 00:00,Agradecimiento,manvazmar3 - Vazquez; Manuel,Gracias por la información; me es de gran ayuda.,manvazmar3@acme.com,https://ev.us.es/
note-07,2020/01/06 00:00,Concordancia,manvazmar3 - Vazquez; Manuel,Estoy totalmente de acuerdo contigo.,manvazmar3@acme.com,https://ev.us.es/
note-08,2020/01/04 00:00,Solicitud de explicación,manvazmar3 - Vazquez; Manuel,¿Podrías explicar con más detalle?,manvazmar3@acme.com,https://ev.us.es/
note-09,2020/02/10 00:00,Confusión,manvazmar3 - Vazquez; Manuel,No entiendo del todo; ¿me lo podrías aclarar?,manvazmar3@acme.com,https://ev.us.es/
note-10,2020/02/01 00:00,Utilidad,manvazmar3 - Vazquez; Manuel,Increíblemente útil; gracias por compartir esta herramienta.,manvazmar3@acme.com,https://ev.us.es/
